,worker_nodes_type,total_nodes,containermemory_avg,nodecpu_masters_avg,criocpu_max,mutatingapicallslatency_avg,p99thetcddiskwalfsyncdurationseconds_max,nodememorytotal_infra_max,etcdversion_max,infra_nodes_type,timestamp,containermemory_max,nodecpu_masters_max,criomemory_avg,mutatingapicallslatency_max,nodememoryavailable_workers_avg,nodememorytotal_masters_max,secretcount_max,workload,workload_nodes_type,end_date,containercpu_avg,nodecpu_infra_avg,criomemory_max,containernetworksetuplatency_avg,nodememorytotal_workers_max,etcdleaderchangesrate_max,servicecount_max,uuid,master_nodes_count,k8s_version,containercpu_max,nodecpu_infra_max,kubeletcpu_avg,containernetworksetuplatency_max,nodememoryutilization_workers_avg,namespacecount_max,poddistribution_max,platform,worker_nodes_count,ocp_nightly_version,apirequestrate_avg,readonlyapicallslatency_avg,kubeletcpu_max,p99thetcdroundtriptimeseconds_avg,nodememoryutilization_workers_max,schedulingthroughput_avg,ocp_version,infra_nodes_count,podlatencyquantilesmeasurement_containersready_avg_p99,nodecpu_workers_avg,apirequestrate_max,kubeletmemory_avg,p99thetcddiskbackendcommitdurationseconds_avg,nodememoryavailable_infra_avg,schedulingthroughput_max,sdn_type,workload_nodes_count,podlatencyquantilesmeasurement_initialized_avg_p99,nodecpu_workers_max,readonlyapicallslatency_max,kubeletmemory_max,p99thetcddiskbackendcommitdurationseconds_max,nodememoryavailable_masters_avg,configmapcount_max,master_nodes_type,podlatencyquantilesmeasurement_podscheduled_avg_p99,criocpu_avg,p99thetcddiskwalfsyncdurationseconds_avg,deploymentcount_max
0,m5.2xlarge,34,73017792.2415094,2.52711209152368,11.5666666030884,0.0506652479218708,0.00567488744854927,200572370944,3,m5.12xlarge,1654087694625,2873991168,15.3420000076294,129037501.62963,0.196999996900558,30501173298.5679,133636317184,1308,node-density,m5.12xlarge,1654088244268,4.18020536780583,7.99000614892349,154230784,31963.8902820841,33226506240,0,85,0fd17f48-node-density-20220601,3,v1.23.3+ad897c4,194.2255859375,47.449333190918,21.0678049267074,73464.5703125,2620940768.39506,71,250,AWS,27,4.11.0-0.nightly-2022-05-25-193227,4.49914973573255,0.0575160748485541,42.7666664123535,0.0126719996333122,4242968576,18.872727394104,4.11,3,3901,1.1578113430442,108.633331298828,210835557.135802,0.00825695969009151,187023886563.556,20.033332824707,OVNKubernetes,1,61,7.90933322906494,1.98000001907349,370053120,0.0137561904266477,124097660245.333,623,r5.4xlarge,16,5.22993827482433,0.00397317485961442,62
1,m5.2xlarge,34,66427808.6842767,2.5930525663711,11.0666666030884,0.0508191147016899,0.00388775509782135,200572370944,3,m5.12xlarge,1654693280462,3227725824,15.4506664276123,113080206.222222,0.198500007390976,30509158147.1605,133636317184,950,node-density,m5.12xlarge,1654693830695,4.33127011732646,7.73747118830215,135385088,31977.144831895,33226506240,0,84,889f9087-node-density-20220608,3,v1.24.0+bb9c2f1,253.377716064453,46.9388313293457,19.1369447840585,75235.6328125,2626004258.76543,71,249,AWS,27,4.11.0-0.nightly-2022-06-06-201913,5.13797568192597,0.0566022345411211,36.6666679382324,0.0126719996333122,3746775040,18.8727273074063,4.11,3,3855,1.16032631444198,106.933334350586,208043690.666667,0.00654490298539814,188114057898.667,20.033332824707,OVNKubernetes,1,61,7.92333316802979,0.991999983787537,377798656,0.00929000042378902,123843184412.444,621,r5.4xlarge,13,4.91584384137834,0.00324051146809426,62
2,m5.2xlarge,34,71987359.718239,2.59267878059763,11.5,0.0542616155517544,0.00515226321294904,200572370944,3,m5.12xlarge,1651834640542,2793734144,15.2486667633057,128538535.506173,0.875999987125397,30676980419.9506,133636317184,1308,node-density,m5.12xlarge,1651835192491,5.02732012171092,7.80727155277889,152788992,34953.1492212185,33226506240,0,84,903e0658-node-density-20220506,3,v1.23.3+d464c70,248.360778808594,46.6826667785645,21.5758290732348,77989.1328125,2497330036.93827,71,250,AWS,27,4.11.0-0.nightly-2022-05-05-015322,4.81298737481691,0.0549991326441134,43.966667175293,0.0126719996333122,3748810752,17.3027777302389,4.11,3,4067,1.1608021239512,120.266670227051,212572754.172839,0.00744368012399516,188094568220.444,20,OVNKubernetes,1,80,7.90666675567627,0.991999983787537,335470592,0.0111781815066934,124287192405.333,621,r5.4xlarge,19,5.24300595860422,0.00377113199404751,62
3,m5.2xlarge,34,104166411.302428,2.48536453682565,10.5333337783813,0.0518966325159584,0.00404972955584526,200572370944,3,m5.12xlarge,1654087770229,2412081152,15.4779996871948,129830267.259259,0.213333338499069,30539203053.037,133636317184,1303,node-density,m5.12xlarge,1654088320944,9.95586767540561,7.9142920009732,151359488,31608.5385613474,33226506240,0,84,099df96e-node-density-20220601,3,v1.23.3+ad897c4,185.723587036133,47.5993347167969,19.4575152161681,67857.1640625,2491568696.88889,71,249,AWS,27,4.11.0-0.nightly-2022-05-25-193227,4.11661072544466,0.0500467190673176,37.466667175293,0.0126719996333122,3999514624,18.3090909069235,4.11,3,3777,1.16921162209426,128.766662597656,200703924.148148,0.00803191927520351,190825122929.778,20.033332824707,OpenShiftSDN,1,52,7.93466663360596,0.239999994635582,304377856,0.0140218185260892,124956532508.444,617,r5.4xlarge,14,5.17283505192142,0.00367060132945577,62
4,m5.2xlarge,34,102999390.375276,2.50532164450136,10.4666662216187,0.0507499607823168,0.00486445846036077,198458441728,3,m5.12xlarge,1653482969157,2499538944,15.3280000686646,129188838.716049,0.157000005245209,30643595327.2099,133636317184,1306,node-density,m5.12xlarge,1653483519832,9.78272492953439,7.80772796195323,153997312,29689.8591077902,33226506240,0,84,a91d1a8d-node-density-20220525,3,v1.23.3+ad897c4,146.562896728516,46.9686660766602,19.8457819230763,68215.46875,2504617238.12346,71,230,AWS,27,4.11.0-0.nightly-2022-05-20-213928,4.32798805312307,0.0498128107842186,39.1666679382324,0.0126719996333122,4005277696,18.6636363809759,4.11,3,3766,1.15938092826677,136.157852172852,198797488.987654,0.00674527349959438,188472618552.889,20.033332824707,OpenShiftSDN,1,51,7.92533349990845,0.199000000953674,303808512,0.0113333333283663,125079845091.556,624,r5.4xlarge,14,5.19485548405368,0.00338799963679372,62
5,m5.2xlarge,34,161862154.053552,2.4821492572258,22.8999996185303,0.0634706867601329,0.00636933324858546,200572370944,3,m5.12xlarge,1654089390856,3890929664,15.46399974823,556185933.748148,4.98000001907349,26019362420.1681,133636317184,1303,node-density-heavy,m5.12xlarge,1654090791839,16.1505918835535,7.7109499940625,1265479680,148328.546145154,33226506240,0,3198,58e53ccf-node-density-heavy-20220601,3,v1.23.3+ad897c4,353.138580322266,47.1453323364258,33.9193841180494,1432511,7011409334.85714,71,250,AWS,27,4.11.0-0.nightly-2022-05-25-193227,2.93900824558566,0.0568179556075887,86.9536209106445,0.0126719996333122,10593751040,8.651388819019,4.11,3,470616,1.28764068139784,100.699996948242,401606347.174603,0.0105700263714728,181220809796.267,13.3333330154419,OpenShiftSDN,1,84713,7.92600011825562,3.96000003814697,985378816,0.027722105383873,121993058918.4,617,r5.4xlarge,445,6.19092670201703,0.0038262292315873,6290
6,m5.2xlarge,34,97137508.0264901,2.55344047390307,17.3999996185303,0.074856254585315,0.00388703704811633,200572370944,3,m5.12xlarge,1654088805298,2435342336,15.453332901001,125954123.851852,3.92000007629395,30753308672,133636317184,1303,node-density-cni,m5.12xlarge,1654089123256,7.33313103265519,7.56640931078347,152326144,29580.0593566895,33226506240,0,284,a8a27db7-node-density-cni-20220601,3,v1.23.3+ad897c4,154.66438293457,47.7879981994629,6.34858644155808,71329.5,2277463077.92593,71,107,AWS,27,4.11.0-0.nightly-2022-05-25-193227,1.62724013666632,0.0501804604948381,28.7999992370605,0.0126719996333122,3983740928,7.71666646003723,4.11,3,6154,1.27441736295933,84.033332824707,188738117.530864,0.0051237640178038,187408529635.556,13.3333330154419,OpenShiftSDN,1,91,7.92733335494995,0.199000000953674,212643840,0.00722000002861023,123767053425.778,617,r5.4xlarge,16,1.66090534793006,0.00346193426392145,463
7,m5.2xlarge,36,76361552.3137255,2.38005585492938,17.3666667938232,0.0688888219580667,0.00488149235025048,66697748480,3,r5.2xlarge,1653488057430,3062960128,15.3188934326172,127995448.888889,3.88000011444092,32097273587.0707,66695974912,1689,node-density-cni,r5.2xlarge,1653488362230,3.01196003952175,1.40874510371199,150528000,42434.7353443819,66697748480,0,394,5d6138f5-node-density-cni-20220525,3,v1.23.5+3afdacb,208.11540222168,7.87466669082642,6.61445925452493,81601.46875,4055287456.32323,95,128,ROSA,33,4.10.0-0.nightly-2022-05-25-111807,1.59811321478364,0.0505695703930111,27.3333339691162,0.0126719996333122,20634685440,7.76666653156281,4.1,3,6110,1.32793950231026,99.1999969482422,191219070.707071,0.00684776498625676,55301904611.5556,13.3333330154419,OVNKubernetes,3,80,7.91466665267944,0.199000000953674,223551488,0.0146300001069903,54411356387.5556,661,m5.4xlarge,22,1.3922453333031,0.00338339226113425,627
8,m5.2xlarge,34,102706967.063063,2.50472222481499,9.86666679382324,0.0621810789950846,0.00581611134111881,200573091840,3,m5.12xlarge,1656431033168,2111361024,15.3420000076294,130561542.320988,1.96000003814697,30566168664.4938,133637038080,1291,node-density,m5.12xlarge,1656431582666,9.72506720446611,8.13608651320156,153948160,32050.7862927962,33227227136,0,80,f68dd5e7-node-density-20220628,3,v1.23.5+3afdacb,98.8713531494141,47.8146667480469,19.3535144233409,68799.8984375,2543617959.50617,70,249,AWS,27,4.10.0-0.nightly-2022-06-08-150219,4.20208157010156,0.0583826058346373,38.4333343505859,0.0126654917710564,3923750912,18.6636363376271,4.1,3,3731,1.15939884241683,129.366668701172,198386789.135802,0.0129854857158433,189128411363.556,20.033332824707,OpenShiftSDN,1,50,7.91933345794678,0.984000027179718,303325184,0.0779636353254318,124580931128.889,634,r5.4xlarge,14,5.12520666917165,0.00324696220923215,63
9,m5.2xlarge,34,73017792.2415094,2.52711209152368,11.5666666030884,0.0506652479218708,0.00567488744854927,200572370944,3,m5.12xlarge,1654087694625,2873991168,15.3420000076294,129037501.62963,0.196999996900558,30501173298.5679,133636317184,1308,node-density,m5.12xlarge,1654088244268,4.18020536780583,7.99000614892349,154230784,31963.8902820841,33226506240,0,85,dummy,3,v1.23.3+ad897c4,194.2255859375,47.449333190918,21.0678049267074,73464.5703125,2620940768.39506,71,250,AWS,27,4.11.0-0.nightly-2022-05-25-193227,4.49914973573255,0.0575160748485541,42.7666664123535,0.0126719996333122,4242968576,18.872727394104,4.11,3,3901,1.1578113430442,108.633331298828,210835557.135802,0.00825695969009151,187023886563.556,20.033332824707,OVNKubernetes,1,61,7.90933322906494,1.98000001907349,370053120,0.0137561904266477,124097660245.333,623,r5.4xlarge,16,5.22993827482433,0.00397317485961442,62
10,m5.2xlarge,36,77578252.5490196,2.43729847239238,10.9666662216187,0.05670789507955,0.00373303331434727,66697748480,3,r5.2xlarge,1654696159812,2554232832,15.2166662216187,128552049.777778,1.96000003814697,32464311637.3333,66695974912,1682,node-density,r5.2xlarge,1654696710929,4.8369733809254,1.31795509075297,155238400,34062.4907635205,66697748480,0,118,fd5f2db2-node-density-20220608,3,v1.23.5+3afdacb,162.421630859375,7.88466644287109,18.4510278304418,83381.1640625,3709601233.45455,95,253,ROSA,33,4.10.0-0.nightly-2022-06-08-043906,4.32378433323626,0.0521024761457931,41.4333343505859,0.0126719996333122,23816916992,18.6515153104609,4.1,3,4315,1.1945766920678,106.933334350586,204476529.777778,0.00628274690825492,58181765802.6667,20.0666675567627,OVNKubernetes,3,79,7.91200017929077,0.984000027179718,351670272,0.00910222250968218,55659128376.8889,672,m5.4xlarge,14,4.37204322930087,0.00308777435242923,79
11,m5.2xlarge,34,187598124.833807,2.43510162703294,31.7000007629395,0.0565559363458306,0.00667812488973141,200567193600,3,m5.12xlarge,1657113368202,4265472000,15.4820003509521,736315868.578616,3.92000007629395,25238540216.0256,133631279104,950,node-density-heavy,m5.12xlarge,1657115137866,12.9862459429531,7.67011979973985,1909837824,489591.726079596,33221496832,0,3198,f10c3aad-node-density-heavy-20220706,3,v1.24.0+2dd8bb1,316.351806640625,47.0566673278809,35.6129803330906,9926790,7959036447.07987,71,250,AWS,27,4.11.0-0.nightly-2022-07-06-062815,2.7342484601111,0.0615193312912748,155.566665649414,0.0129392700937559,12974407680,9.90476184781818,4.11,3,973741,1.27741476251,101.033332824707,397116655.908571,0.00985593965083782,179121724873.258,13.3666667938232,OpenShiftSDN,1,30506,7.91666650772095,0.991733312606812,1380732928,0.0250933337956667,119819906170.365,537,r5.4xlarge,30,6.1296748172812,0.00371524639451091,6292
12,m5.2xlarge,34,77017792.2415094,2.61711209152368,11.5666666030884,0.0506652479218708,0.00463988744854927,200572370944,3,m5.12xlarge,1654076694625,2873991168,15.3420000076294,129037501.62963,0.196999996900558,30501173298.5679,133636317184,1308,node-density,m5.12xlarge,1654088244268,4.18020536780583,7.99000614892349,154230784,31963.8902820841,33226506240,0,85,0aa17f48-node-density-20220601,3,v1.23.3+ad897c4,194.2255859375,47.449333190918,21.0678049267074,73464.5703125,2620940768.39506,71,250,AWS,27,4.9.0-0.nightly-2022-05-25-193227,4.49914973573255,0.0575160748485541,42.7666664123535,0.0131119996333122,4242968576,18.872727394104,4.9,3,4501,1.1998113430442,108.633331298828,210835557.135802,0.00825695969009151,187023886563.556,20.033332824707,OVNKubernetes,1,95,7.92933322906494,1.98000001907349,370053120,0.0122561904266477,124097660245.333,623,r5.4xlarge,25,5.22993827482433,0.00391617485961442,62
13,m5.2xlarge,34,76117792.2415094,2.63711209152368,11.6766666030884,0.0506652479218708,0.00513988744854927,200572370944,3,m5.12xlarge,1654065694625,2873991168,15.3420000076294,129037501.62963,0.196999996900558,30501173298.5679,133636317184,1308,node-density,m5.12xlarge,1654088244268,4.18020536780583,7.99000614892349,154230784,31963.8902820841,33226506240,1,85,0ab17f48-node-density-20220601,3,v1.23.3+ad897c4,194.2255859375,47.449333190918,21.0678049267074,73464.5703125,2620940768.39506,71,250,AWS,27,4.9.0-0.nightly-2022-05-25-193227,4.49914973573255,0.0575160748485541,42.7666664123535,0.0131119996333122,4242968576,18.872727394104,4.9,3,4701,1.1478113430442,108.633331298828,210835557.135802,0.00825695969009151,187023886563.556,20.033332824707,OVNKubernetes,1,93,7.92933322906494,1.98000001907349,370053120,0.0122561904266477,124097660245.333,623,r5.4xlarge,25,5.22993827482433,0.00401617485961442,62
14,m5.2xlarge,34,78717792.2415094,2.60711209152368,11.7866666030884,0.0506652479218708,0.00593988744854927,200572370944,3,m5.12xlarge,1654054694625,2873991168,15.3420000076294,129037501.62963,0.196999996900558,30501173298.5679,133636317184,1308,node-density,m5.12xlarge,1654088244268,4.18020536780583,7.99000614892349,154230784,31963.8902820841,33226506240,0,85,0ac17f48-node-density-20220601,3,v1.23.3+ad897c4,194.2255859375,47.449333190918,21.0678049267074,73464.5703125,2620940768.39506,71,250,AWS,27,4.9.0-0.nightly-2022-05-25-193227,4.49914973573255,0.0575160748485541,42.7666664123535,0.0131119996333122,4242968576,18.872727394104,4.9,3,4401,1.1878113430442,108.633331298828,210835557.135802,0.00825695969009151,187023886563.556,20.033332824707,OVNKubernetes,1,99,7.92933322906494,1.98000001907349,370053120,0.0122561904266477,124097660245.333,623,r5.4xlarge,25,5.22993827482433,0.00421617485961442,62
